-3.42,-8.32,2.07
-2.57,-9.40,0.80
-1.11,-9.36,0.16
-0.36,-11.30,-0.09
0.18,-10.86,0.56
0.97,-10.01,1.21
1.65,-9.31,1.75
1.94,-10.26,2.09
2.11,-9.79,2.32
2.51,-9.38,2.37
2.08,-10.07,2.23
2.16,-10.66,1.87
3.74,-11.18,1.62
6.08,-11.92,2.03
7.89,-9.81,3.15
7.03,-9.18,4.27
3.62,-8.04,4.83
-0.27,-5.31,3.64
-5.40,0.41,1.74
-11.84,5.67,1.96
-18.43,4.06,3.34
-20.61,0.29,2.70
-15.49,-0.45,-1.28
-7.30,0.17,-6.06
1.67,-1.02,-8.19
12.59,0.32,-5.72
17.98,1.70,4.51
16.12,0.65,16.70
11.57,-4.59,24.34
8.96,-5.80,23.78
8.15,0.89,13.06
4.93,9.66,1.99
-2.77,12.97,-3.15
-13.72,13.81,-1.59
-24.89,8.09,2.97
-29.07,2.99,4.57
-20.90,1.93,0.78
-7.50,3.93,-3.95
5.13,2.29,-6.47
14.97,1.01,-3.84
19.63,-2.34,4.41
20.46,-4.84,15.56
16.89,-5.93,23.89
12.74,0.62,19.65
8.65,15.61,7.24
-1.36,23.88,-0.22
-15.26,22.60,0.65
-43.93,11.20,7.02
-20.41,13.25,6.42
-12.83,9.74,6.91
-1.24,10.82,3.33
7.58,6.30,-2.22
15.99,2.33,-2.37
21.34,1.66,4.81
20.19,1.23,16.94
13.53,-1.36,23.25
9.76,-0.03,20.15
11.60,0.71,15.10
12.42,4.52,7.98
8.75,11.52,1.31
-0.18,15.23,-1.82
-14.36,20.77,1.28
-45.69,16.49,2.32
-30.76,12.22,9.19
-17.22,15.20,3.60
-0.26,15.86,-5.24
15.18,16.33,-7.05
22.90,16.12,3.83
20.20,10.19,21.97
12.88,4.45,34.78
9.04,7.01,32.97
10.94,14.95,18.60
12.31,16.81,2.82
6.30,21.46,-6.10
-7.25,24.88,-3.53
-73.74,41.11,8.65
-39.28,11.67,1.02
-28.23,11.57,11.20
-10.68,20.85,1.29
5.72,18.77,-7.33
