1.36,-2.78,7.85
1.33,-2.44,7.93
0.80,-1.62,9.93
0.43,-0.28,12.96
1.28,-1.66,12.10
1.25,-1.60,9.59
0.91,-1.85,8.24
0.92,-2.08,7.69
0.91,-1.82,8.21
0.82,-1.97,10.09
0.23,-2.06,10.34
-0.01,-1.65,9.49
0.72,-1.73,9.62
0.76,-2.21,10.14
0.40,-2.09,9.61
1.13,-2.44,7.06
2.16,-3.18,3.49
3.57,-2.75,-1.52
3.45,-1.80,-4.56
-0.64,4.76,4.34
-4.37,19.63,23.45
-7.03,20.31,37.06
-4.42,13.29,34.14
2.04,12.48,16.00
5.90,10.04,-2.88
6.91,2.67,-18.07
6.32,-1.50,-21.80
4.19,-0.53,-12.51
-0.52,5.78,1.48
-7.31,21.73,20.81
-12.02,23.65,36.25
-9.22,14.87,36.54
0.16,13.88,19.00
6.63,11.15,-0.89
8.71,3.36,-17.82
6.28,-2.13,-22.09
-0.48,0.93,-11.42
-4.44,9.61,6.16
-6.96,21.29,25.43
-9.56,16.94,36.76
-6.62,9.94,32.37
0.95,9.90,14.33
5.23,7.19,-2.76
5.02,2.09,-15.92
1.31,-2.28,-18.11
-4.88,-0.78,-6.16
-6.16,20.37,15.03
-8.91,31.37,33.84
-12.42,14.29,39.81
-3.03,10.58,24.73
8.91,14.46,3.51
13.43,8.39,-14.65
8.09,0.07,-22.38
-4.33,-0.10,-12.50
-10.63,17.01,9.04
-12.50,33.12,29.33
-15.60,16.66,38.64
-5.20,9.45,28.43
10.09,13.97,8.72
16.55,8.16,-9.43
9.01,1.34,-19.97
-5.13,2.19,-9.25
-11.79,24.24,13.78
-15.20,31.21,32.12
-15.16,12.03,37.51
0.12,10.18,23.19
14.42,11.90,3.49
15.95,4.99,-14.63
2.01,0.60,-17.12
-11.44,11.64,1.75
-13.69,32.21,24.02
-14.62,23.23,36.13
-8.96,7.46,31.39
6.31,10.37,13.64
13.88,5.51,-3.32
9.25,0.15,-14.13
1.05,1.20,-9.50
-3.83,6.31,2.58
-7.83,14.45,16.54
-11.92,16.63,27.03
-10.69,10.26,27.55
-2.81,8.15,16.63
4.13,4.43,3.42
7.77,-0.28,-7.41
7.37,-3.39,-12.45
2.85,-0.93,-7.46
-3.79,10.61,6.70
-10.69,25.05,24.96
-15.46,18.94,34.25
-9.70,13.07,27.75
2.13,12.42,11.21
12.78,9.23,-4.78
16.80,1.64,-17.57
10.74,-1.31,-18.09
0.24,6.78,-4.85
-9.08,29.59,17.33
-15.83,34.45,36.19
-15.46,18.59,39.14
-1.05,19.07,21.21
12.02,18.31,0.87
16.86,9.17,-18.30
7.80,0.73,-24.67
-4.78,4.12,-10.39
-8.07,29.13,14.89
-11.03,39.51,34.12
-14.16,17.94,41.00
-2.29,14.52,26.90
