0.70,0.43,9.24
0.59,0.42,9.50
0.73,0.40,9.03
0.74,0.44,9.67
0.68,0.51,9.68
0.77,0.57,9.35
0.82,0.44,9.20
0.67,0.25,9.25
0.62,0.29,9.37
0.73,0.46,9.32
0.71,0.35,9.21
0.74,0.45,9.37
0.73,0.46,9.45
0.73,0.44,9.56
0.64,0.32,9.44
0.63,0.43,9.26
0.76,0.54,9.25
0.72,0.44,9.28
0.68,0.28,9.37
0.69,0.40,9.47
0.74,0.45,9.20
0.72,0.42,9.29
0.66,0.33,9.32
0.68,0.35,9.42
0.73,0.48,9.45
0.77,0.36,9.23
0.68,0.36,9.27
0.71,0.36,9.48
0.71,0.39,9.38
0.72,0.40,9.21
0.77,0.40,9.22
0.65,0.37,9.44
0.65,0.28,9.62
0.62,0.34,9.37
0.77,0.37,9.27
0.71,0.48,9.28
0.70,0.36,9.44
0.75,0.27,9.34
0.76,0.34,9.29
0.68,0.41,9.34
0.70,0.45,9.45
0.63,0.35,9.43
0.75,0.45,9.37
0.74,0.35,9.36
0.66,0.42,9.28
0.66,0.40,9.41
0.60,0.36,9.43
0.68,0.31,9.29
0.77,0.47,9.37
0.67,0.35,9.41
0.69,0.42,9.40
0.65,0.36,9.39
0.71,0.41,9.36
0.72,0.37,9.29
0.63,0.40,9.31
0.74,0.54,9.51
0.71,0.40,9.44
0.74,0.30,9.17
0.67,0.36,9.20
0.70,0.40,9.55
0.70,0.38,9.37
0.70,0.35,9.34
0.73,0.46,9.33
0.64,0.39,9.47
0.69,0.32,9.37
0.66,0.39,9.27
0.75,0.59,9.38
0.72,0.38,9.25
0.60,0.30,9.31
0.63,0.40,9.36
0.74,0.45,9.32
0.67,0.35,9.32
0.70,0.36,9.42
0.68,0.51,9.42
0.68,0.38,9.30
0.67,0.28,9.33
0.69,0.39,9.40
0.70,0.47,9.38
0.73,0.36,9.16
0.59,0.41,9.39
0.68,0.45,9.40
0.68,0.32,9.44
0.73,0.34,9.19
0.63,0.50,9.34
0.77,0.50,9.38
0.69,0.46,9.36
0.65,0.34,9.39
0.69,0.41,9.27
0.65,0.40,9.35
0.63,0.36,9.39
0.71,0.41,9.33
0.69,0.44,9.30
0.70,0.48,9.27
0.63,0.39,9.42
0.73,0.51,9.40
0.68,0.41,9.21
0.65,0.43,9.34
0.69,0.41,9.43
0.68,0.41,9.43
0.68,0.41,9.31
0.69,0.46,9.18
0.72,0.43,9.31
0.67,0.45,9.50
0.66,0.39,9.29
0.72,0.42,9.34
0.67,0.42,9.30
0.72,0.40,9.40
0.65,0.44,9.40
0.68,0.38,9.13
0.68,0.45,9.38
0.68,0.51,9.49
0.69,0.31,9.38
0.70,0.53,9.43
0.71,0.52,9.39
0.64,0.46,9.43
0.67,0.35,9.25
0.59,0.25,9.23
0.62,0.45,9.32
0.65,0.45,9.21
0.65,0.46,9.41
0.64,0.39,9.38
0.68,0.45,9.27
0.54,0.34,9.32
0.63,0.39,9.33
0.62,0.42,9.48
0.64,0.49,9.38
0.69,0.37,9.16
0.62,0.37,9.37
